source,target,value
Chief Executives,Reading Comprehension,4.12
Chief Executives,Active Listening,4.12
Chief Executives,Writing,4
Chief Executives,Speaking,4.38
Chief Executives,Mathematics,3.25
Chief Executives,Science,1.88
Chief Executives,Critical Thinking,4.38
Chief Executives,Active Learning,4
Chief Executives,Learning Strategies,3.12
Chief Executives,Monitoring,4.12
Chief Executives,Social Perceptiveness,4.25
Chief Executives,Coordination,4.25
Chief Executives,Persuasion,4.12
Chief Executives,Negotiation,4.12
Chief Executives,Instructing,3.12
Chief Executives,Service Orientation,3.12
Chief Executives,Complex Problem Solving,4.38
Chief Executives,Operations Analysis,3.12
Chief Executives,Technology Design,1.75
Chief Executives,Equipment Selection,1.12
Chief Executives,Installation,1
Chief Executives,Programming,1.62
Chief Executives,Operation Monitoring,1.88
Chief Executives,Operation and Control,1.75
Chief Executives,Equipment Maintenance,1
Chief Executives,Troubleshooting,1
Chief Executives,Repairing,1
Chief Executives,Quality Control Analysis,1.75
Chief Executives,Judgment and Decision Making,4.5
Chief Executives,Systems Analysis,4.12
Chief Executives,Systems Evaluation,4.12
Chief Executives,Time Management,4
Chief Executives,Management of Financial Resources,4.12
Chief Executives,Management of Material Resources,3.88
Chief Executives,Management of Personnel Resources,4.25
Chief Sustainability Officers,Reading Comprehension,4
Chief Sustainability Officers,Active Listening,3.88
Chief Sustainability Officers,Writing,3.88
Chief Sustainability Officers,Speaking,4
Chief Sustainability Officers,Mathematics,2.75
Chief Sustainability Officers,Science,1.75
Chief Sustainability Officers,Critical Thinking,4
Chief Sustainability Officers,Active Learning,3.5
Chief Sustainability Officers,Learning Strategies,3.38
Chief Sustainability Officers,Monitoring,3.62
Chief Sustainability Officers,Social Perceptiveness,3.75
Chief Sustainability Officers,Coordination,3.62
Chief Sustainability Officers,Persuasion,3.62
Chief Sustainability Officers,Negotiation,2.88
Chief Sustainability Officers,Instructing,3.25
Chief Sustainability Officers,Service Orientation,3.25
Chief Sustainability Officers,Complex Problem Solving,4
Chief Sustainability Officers,Operations Analysis,2.62
Chief Sustainability Officers,Technology Design,1.62
Chief Sustainability Officers,Equipment Selection,1.12
Chief Sustainability Officers,Installation,1
Chief Sustainability Officers,Programming,1.62
Chief Sustainability Officers,Operation Monitoring,2.25
Chief Sustainability Officers,Operation and Control,1.62
Chief Sustainability Officers,Equipment Maintenance,1
Chief Sustainability Officers,Troubleshooting,1.12
Chief Sustainability Officers,Repairing,1
Chief Sustainability Officers,Quality Control Analysis,2.25
Chief Sustainability Officers,Judgment and Decision Making,3.75
Chief Sustainability Officers,Systems Analysis,3.62
Chief Sustainability Officers,Systems Evaluation,3.62
Chief Sustainability Officers,Time Management,3.38
Chief Sustainability Officers,Management of Financial Resources,2.62
Chief Sustainability Officers,Management of Material Resources,2.38
Chief Sustainability Officers,Management of Personnel Resources,3.38
General and Operations Managers,Reading Comprehension,3.88
General and Operations Managers,Active Listening,4
General and Operations Managers,Writing,3.25
General and Operations Managers,Speaking,4
General and Operations Managers,Mathematics,2.38
General and Operations Managers,Science,1.88
General and Operations Managers,Critical Thinking,3.88
General and Operations Managers,Active Learning,3.5
General and Operations Managers,Learning Strategies,3
General and Operations Managers,Monitoring,4
General and Operations Managers,Social Perceptiveness,4
General and Operations Managers,Coordination,4
General and Operations Managers,Persuasion,3.38
General and Operations Managers,Negotiation,3.62
General and Operations Managers,Instructing,3.12
General and Operations Managers,Service Orientation,3.25
General and Operations Managers,Complex Problem Solving,3.5
General and Operations Managers,Operations Analysis,2.75
General and Operations Managers,Technology Design,1.88
General and Operations Managers,Equipment Selection,1
General and Operations Managers,Installation,1
General and Operations Managers,Programming,1.5
General and Operations Managers,Operation Monitoring,2.75
General and Operations Managers,Operation and Control,2
General and Operations Managers,Equipment Maintenance,1
General and Operations Managers,Troubleshooting,2
General and Operations Managers,Repairing,1
General and Operations Managers,Quality Control Analysis,2.38
General and Operations Managers,Judgment and Decision Making,3.5
General and Operations Managers,Systems Analysis,3
